temperature,energy,capacity,energy2,capacity2,order_parameter,acpt_rat,avg_len,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,Energy_per_star,k_B,date,
0.2,-0.333321761,0.008489133,-0.333332465,6.51E-05, (-0.00050000000000000001-0.00028867513459481133j),6.83E-05,6.446975491,24,5000,576,100,1,-1,1,05-17_02_45,
0.3,-0.333241685,0.018272664,-0.333290799,0.001406245, (-0.013666666666666666+0.00057735026918962493j),0.134291345,5.796888226,24,5000,576,100,1,-1,1,05-17_05_08,
0.4,-0.332729481,0.015313836,-0.332763021,0.010607506, (-0.16516666666666666-0.0037527767497325519j),0.002018478,6.452784829,24,5000,576,100,1,-1,1,05-17_12_09,
0.5,-0.330738693,0.045785896,-0.330849537,0.03155458, (-0.73175-0.012268693220279436j),0.14185341,5.815591709,24,5000,576,6000,1,-1,1,,
0.6,-0.32584075,0.070779756,-0.325857928,0.069346222, (-2.24875-0.06596226825491473j),0.155737814,5.859586363,24,5000,576,6000,1,-1,1,,
0.7,-0.316295649,0.123408789,-0.316363426,0.120664062, (-5.2005-0.1417394910860531j),0.183375834,5.94547525,24,5000,576,6000,1,-1,1,,
0.8,-0.300756059,0.186611258,-0.300783854,0.186547619, (-10.139999999999999-0.22285720390719552j),0.216117543,6.161811035,24,5000,576,100,1,-1,1,05-17_01_54,
0.85,-0.290162844,0.2232896,-0.290785301,0.208847417, (-13.2875-0.20207259421636906j),0.229688598,6.362385847,24,5000,576,100,1,-1,1,05-17_19_53,
0.9,-0.27978786,0.21016748,-0.279693866,0.210170724, (-16.732333333333333-0.16743157806499145j),0.255202585,6.53374862,24,5000,576,100,1,-1,1,05-17_03_46,
0.95,-0.268532986,0.201720481,-0.26852691,0.201601623, (-20.137166666666666-0.18965956342879212j),0.298209268,6.627535716,24,5000,576,100,1,-1,1,05-17_22_12,
1,-0.261139347,0.176477003,-0.261127315,0.176130983, (-22.1555-0.23498155956017777j),0.328858552,6.695292309,24,5000,576,100,1,-1,1,05-17_05_39,
1.1,-0.246621824,0.132117789,-0.246441262,0.12735023, (-25.977666666666664-0.20640272123529127j),0.388411235,6.851671534,24,5000,576,6000,1,-1,1,,
1.2,-0.23570551,0.105543503,-0.235461516,0.100859816, (-28.340999999999998-0.1564619229503886j),0.435995581,6.989404406,24,5000,576,6000,1,-1,1,,
1.3,-0.227375157,0.08563936,-0.227147569,0.079973185, (-29.849666666666664-0.18215400992932695j),0.477685001,7.070298102,24,5000,576,6000,1,-1,1,,
1.4,-0.220737709,0.074564813,-0.220386285,0.066061266, (-30.875-0.12037753112603695j),0.512675772,7.157585641,24,5000,576,6000,1,-1,1,,
1.5,-0.214370837,0.057523596,-0.214286169,0.055585598, (-31.704-0.12730573435631246j),0.545133397,7.241902562,24,5000,576,6000,1,-1,1,,
1.6,-0.210329818,0.052388383,-0.209951389,0.04726701, (-32.155-0.07938566201357353j),0.569881202,7.28226346,24,5000,576,6000,1,-1,1,,
1.7,-0.206638052,0.049128637,-0.20608941,0.04010213, (-32.538333333333334-0.0759215603984357j),0.593322225,7.353847169,24,5000,576,6000,1,-1,1,,
1.8,-0.202081772,0.038716245,-0.201958912,0.036470049, (-32.91716666666667-0.05022947341949742j),0.617118859,7.409452508,24,5000,576,6000,1,-1,1,,
1.9,-0.199725426,0.042292776,-0.1988614,0.031702246, (-33.156666666666666-0.11142860195359776j),0.633027977,7.452399031,24,5000,576,6000,1,-1,1,,
2,-0.196237746,0.036890884,-0.195592882,0.028492296, (-33.31491666666667-0.07779794877330203j),0.651620658,7.501666948,24,5000,576,6000,1,-1,1,,
2.1,-0.193558898,0.025397486,-0.193457465,0.024101884, (-33.42733333333333-0.04705404693895452j),0.670721639,7.532246266,24,5000,576,6000,1,-1,1,05-17_13_42,
